ts_ms,event_id,period,display_clock,home_team,home_score,away_team,away_score,home_score_delta,away_score_delta,game_state,event_type
1781867604240,760442,0,0',USA,0,AUS,0,0,0,pre,start
1781867610742,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867640959,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867670747,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867700964,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867730895,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867760296,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867790693,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867820925,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867850807,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867880855,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867910698,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867940753,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781867970751,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868000679,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868030779,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868060624,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868090541,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868120555,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868150774,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868180520,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868210224,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868240526,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868270777,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868300190,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868330389,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868360695,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868390553,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868420410,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868450478,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868480279,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868510176,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868540204,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868570168,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868601024,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868630990,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868660912,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868690932,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868720086,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868750294,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868780337,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868810421,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868840424,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868870344,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868900186,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868930559,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868960686,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781868990884,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869020743,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869050503,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869080355,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869110190,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869140075,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869170022,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869171049,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869200974,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869230873,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869260849,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869290887,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869320824,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869350977,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869380039,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869381083,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869410118,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869440127,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869470070,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869500012,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869501042,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869530957,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869560929,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869590699,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869620553,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869650406,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869680328,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869710279,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869740080,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869771021,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869801040,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869830188,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869860050,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869861082,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869890996,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869920948,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869950332,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781869980460,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870010301,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870040384,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870070351,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870100352,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870130163,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870160947,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870190250,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870220308,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870250453,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870280495,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870310460,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870340408,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870370494,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870400541,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870430877,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870460265,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870490420,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870520359,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870550695,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870580690,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870610927,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870640013,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870641044,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870670137,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870700282,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870730289,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870760428,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870790585,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870820634,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870850828,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870880679,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870910812,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870940973,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781870970296,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871000453,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871030507,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871060608,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871090456,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871120751,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871150097,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871180522,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871210526,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871240476,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871270313,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871300112,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871330950,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871360798,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871390902,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871420115,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871450082,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871480124,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871510208,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871540579,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871570790,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871600879,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871631008,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871660163,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871690233,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871720387,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871750496,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871780632,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871810671,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871840954,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871870592,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871900509,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871930698,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871960918,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781871990247,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872020531,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872050458,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872080661,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872110669,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872140960,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872170232,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872200760,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872230052,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872260360,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872290286,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872320612,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872350453,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872380450,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872410385,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872440535,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872470778,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872501056,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872530340,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872560496,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872590602,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872620876,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872650878,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872680026,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872681068,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872710497,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872740624,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872770877,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872800996,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872830395,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872860568,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872890981,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872920981,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872950339,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781872980226,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873010500,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873040079,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873070589,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873100679,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873131034,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873160266,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873190364,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873220812,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873250167,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873280114,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873310280,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873340349,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873370784,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873400023,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873401079,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873430199,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873460410,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873490652,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873520824,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873550311,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873580763,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873610880,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873640684,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873670418,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873700699,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873730696,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873760087,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873790648,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873820817,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873850590,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873880757,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873910097,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873940077,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781873970295,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781874000270,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
1781874030463,760442,0,0',USA,0,AUS,0,0,0,pre,heartbeat
